file,test_case,expected,category,predicted,confidence,correct,test_number
test2-ABC123DE-easy.jpg,test2,ABC123DE,easy,ABC123DE,0.9572514549047226,1,2
test3-LASTBUG-easy.jpg,test3,LASTBUG,easy,LASTBUG,0.999901900274138,1,3
test4-LUC803-easy.jpg,test4,LUC803,easy,LUC803,0.9999172518968539,1,4
test5-HBQ620-easy.jpg,test5,HBQ620,easy,HBQ620,0.9980080709776157,1,5
test6-S8911B-easy.jpg,test6,S8911B,easy,S8911B,0.9993796111407411,1,6
test7-MSKSN69-easy.jpg,test7,MSKSN69,easy,MSKSN69,0.9999609228299486,1,7
test10-8NMT407-easy.jpg,test10,8NMT407,easy,8NMT407,0.9989888505047622,1,10
test12-9KWT416-easy.jpg,test12,9KWT416,easy,9KWT416,0.9998212445304184,1,12
test13-DATAHOG-easy.jpg,test13,DATAHOG,easy,DATAHOG,0.9930017898898689,1,13
test21-PB4WEGO-easy.jpg,test21,PB4WEGO,easy,PB4WEGO,0.981903096404773,1,21
test29-28065H4-easy.jpg,test29,28065H4,easy,28065H4,0.9997652588673038,1,29
test30-4ATC967-easy.jpg,test30,4ATC967,easy,4ATC967,0.999535338505625,1,30
test31-8NEM231-easy.jpg,test31,8NEM231,easy,8NEM231,0.975201946713318,1,31
test32-8AXJ417-easy.jpg,test32,8AXJ417,easy,8AXJ417,0.9995631247687768,1,32
test34-IEPS-easy.jpg,test34,IEPS,easy,IEPS,0.9998510644465244,1,34
test37-HULOVSU-easy.jpg,test37,HULOVSU,easy,HULOVSU,0.9989346546051532,1,37
test38-BYOLOGY-easy.jpg,test38,BYOLOGY,easy,BYOLOGY,0.9948569867143224,1,38
test46-765OUZ-easy.jpg,test46,765OUZ,easy,765OUZ,0.9811743028840303,1,46
test47-CTVA66-easy.jpg,test47,CTVA66,easy,CTVA66,0.9999417620360423,1,47
test48-4XG8879-easy.jpg,test48,4XG8879,easy,4XG8879,0.999923197452229,1,48
test52-YOUTUBE-easy.jpg,test52,YOUTUBE,easy,YOUTUBE,0.9990098761341831,1,52
test54-SM05DFO-easy.jpg,test54,SM05DFO,easy,B137012,0.9969955242414947,0,54
test56-51F15585-easy.jpg,test56,51F15585,easy,51F15585,0.9998650528732466,1,56
test57-60A35981-easy.jpg,test57,60A35981,easy,60A35981,0.9999504368701795,1,57
test1-ABC1234-hard.jpg,test1,ABC1234,hard,ABC1234,0.9999339623065708,1,1
test18-IMINAYA-hard.jpg,test18,IMINAYA,hard,IMINAYA,0.9943636866200712,1,18
test19-HUTCHW-hard.jpg,test19,HUTCHW,hard,HUTCHW,0.9989086769752601,1,19
test20-IEB678-hard.jpg,test20,IEB678,hard,IEB678,0.9996971580735617,1,20
